id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Савва;Константинов;Naina.Schukina2@hotmail.com;premier;2025-03-25T13:58:52;20029;18137
2;Венедикт;Петров;Vladlen_Krylov4@mail.ru;bleach vaguely;2025-03-26T04:41:57;10127;30162
3;Ипполит;Баранов;Feoktist_Larionov16@mail.ru;anti until taxicab;2025-03-25T15:04:11;27397;12640
4;Эммануил;Белозеров;Ipatii.Pestova28@gmail.com;knavishly;2025-03-25T11:26:18;13024;4046
5;Капитон;Королев;Ekaterina.Komissarova@gmail.com;unless why gosh;2025-03-25T21:50:03;27583;26895
6;Евфросиния;Васильев;Elizaveta.Timofeev94@hotmail.com;aha against ultimately;2025-03-26T07:45:09;13229;15589
7;Еремей;Антонов;Apollon_Sysoeva85@hotmail.com;vainly ack;2025-03-25T10:03:31;29325;31944
8;Любомир;Маслова;Vikentii_Denisov80@yandex.ru;inconsequential slap glorious;2025-03-25T12:08:52;940;11887
9;Мариан;Гурьев;Yanuarii19@yandex.ru;in hutch;2025-03-25T19:06:16;6607;23829
10;Клавдия;Фадеев;Kseniya.Shilov44@hotmail.com;neatly clone;2025-03-25T16:27:19;25324;4809
